New Claim Date,variable,value,type
2020-04-12,"$50,000 to less than $75,000",3065.0,initial
2020-04-12,Zero,3494.0,initial
2020-04-12,"$150,000 or more ",347.0,initial
2020-04-12,"$35,000 to less than $50,000",3158.0,initial
2020-04-12,"$75,000 to less than $150,000",2007.0,initial
2020-04-12,"Less than $20,000",9567.0,initial
2020-04-12,"$20,000 to less than $35,000",4518.0,initial
2020-04-18,"$150,000 or more ",3885.0,continued
2020-04-18,"$75,000 to less than $150,000",20967.0,continued
2020-04-18,"$50,000 to less than $75,000",39129.0,continued
2020-04-18,"$20,000 to less than $35,000",73773.0,continued
2020-04-18,Zero,3954.0,continued
2020-04-18,"$35,000 to less than $50,000",48493.0,continued
2020-04-18,"Less than $20,000",106723.0,continued
2020-04-19,"Less than $20,000",7611.0,initial
2020-04-19,"$75,000 to less than $150,000",1281.0,initial
2020-04-19,"$20,000 to less than $35,000",3050.0,initial
2020-04-19,Zero,2706.0,initial
2020-04-19,"$150,000 or more ",279.0,initial
2020-04-19,"$35,000 to less than $50,000",2203.0,initial
2020-04-19,"$50,000 to less than $75,000",2022.0,initial
2020-04-25,"$75,000 to less than $150,000",21126.0,continued
2020-04-25,"$150,000 or more ",4030.0,continued
2020-04-25,"$50,000 to less than $75,000",39217.0,continued
2020-04-25,Zero,3628.0,continued
2020-04-25,"$20,000 to less than $35,000",74355.0,continued
2020-04-25,"Less than $20,000",110870.0,continued
2020-04-25,"$35,000 to less than $50,000",48718.0,continued
2020-04-26,"$50,000 to less than $75,000",2051.0,initial
2020-04-26,"$35,000 to less than $50,000",2092.0,initial
2020-04-26,"$20,000 to less than $35,000",3162.0,initial
2020-04-26,"$75,000 to less than $150,000",1663.0,initial
2020-04-26,Zero,5333.0,initial
2020-04-26,"$150,000 or more ",390.0,initial
2020-04-26,"Less than $20,000",9755.0,initial
2020-05-02,"$50,000 to less than $75,000",39149.0,continued
2020-05-02,"$20,000 to less than $35,000",74691.0,continued
2020-05-02,"$150,000 or more ",4173.0,continued
2020-05-02,"Less than $20,000",116754.0,continued
2020-05-02,Zero,3553.0,continued
2020-05-02,"$75,000 to less than $150,000",21488.0,continued
2020-05-02,"$35,000 to less than $50,000",48510.0,continued
2020-05-03,"$75,000 to less than $150,000",1238.0,initial
2020-05-03,"Less than $20,000",8065.0,initial
2020-05-03,"$150,000 or more ",293.0,initial
2020-05-03,Zero,3894.0,initial
2020-05-03,"$35,000 to less than $50,000",1583.0,initial
2020-05-03,"$50,000 to less than $75,000",1536.0,initial
2020-05-03,"$20,000 to less than $35,000",2396.0,initial
2020-05-09,"Less than $20,000",117653.0,continued
2020-05-09,"$35,000 to less than $50,000",46161.0,continued
2020-05-09,"$20,000 to less than $35,000",72193.0,continued
2020-05-09,"$50,000 to less than $75,000",36845.0,continued
2020-05-09,"$150,000 or more ",4026.0,continued
2020-05-09,"$75,000 to less than $150,000",20256.0,continued
2020-05-09,Zero,3105.0,continued
2020-05-10,Zero,2958.0,initial
2020-05-10,"Less than $20,000",7110.0,initial
2020-05-10,"$50,000 to less than $75,000",1200.0,initial
2020-05-10,"$20,000 to less than $35,000",2133.0,initial
2020-05-10,"$150,000 or more ",211.0,initial
2020-05-10,"$75,000 to less than $150,000",1084.0,initial
2020-05-10,"$35,000 to less than $50,000",1337.0,initial
2020-05-16,Zero,2607.0,continued
2020-05-16,"$20,000 to less than $35,000",70476.0,continued
2020-05-16,"$50,000 to less than $75,000",34591.0,continued
2020-05-16,"Less than $20,000",119106.0,continued
2020-05-16,"$75,000 to less than $150,000",19106.0,continued
2020-05-16,"$150,000 or more ",3850.0,continued
2020-05-16,"$35,000 to less than $50,000",44037.0,continued
2020-05-17,"Less than $20,000",6247.0,initial
2020-05-17,"$75,000 to less than $150,000",1542.0,initial
2020-05-17,"$20,000 to less than $35,000",1819.0,initial
2020-05-17,"$150,000 or more ",325.0,initial
2020-05-17,Zero,2249.0,initial
2020-05-17,"$35,000 to less than $50,000",1229.0,initial
2020-05-17,"$50,000 to less than $75,000",1215.0,initial
2020-05-23,"$50,000 to less than $75,000",33526.0,continued
2020-05-23,"$35,000 to less than $50,000",42742.0,continued
2020-05-23,"$20,000 to less than $35,000",69058.0,continued
2020-05-23,"$150,000 or more ",3867.0,continued
2020-05-23,"$75,000 to less than $150,000",19096.0,continued
2020-05-23,"Less than $20,000",120248.0,continued
2020-05-23,Zero,2424.0,continued
2020-05-24,"$150,000 or more ",203.0,initial
2020-05-24,"$20,000 to less than $35,000",1505.0,initial
2020-05-24,"$35,000 to less than $50,000",945.0,initial
2020-05-24,"$50,000 to less than $75,000",1019.0,initial
2020-05-24,"$75,000 to less than $150,000",760.0,initial
2020-05-24,Zero,1686.0,initial
2020-05-24,"Less than $20,000",5188.0,initial
2020-05-30,Zero,2239.0,continued
2020-05-30,"$20,000 to less than $35,000",67180.0,continued
2020-05-30,"$75,000 to less than $150,000",18321.0,continued
2020-05-30,"Less than $20,000",119808.0,continued
2020-05-30,"$35,000 to less than $50,000",41188.0,continued
2020-05-30,"$50,000 to less than $75,000",32113.0,continued
2020-05-30,"$150,000 or more ",3778.0,continued
2020-05-31,"$20,000 to less than $35,000",1422.0,initial
2020-05-31,Zero,1573.0,initial
2020-05-31,"$50,000 to less than $75,000",911.0,initial
2020-05-31,"$75,000 to less than $150,000",844.0,initial
2020-05-31,"$150,000 or more ",283.0,initial
2020-05-31,"$35,000 to less than $50,000",865.0,initial
2020-05-31,"Less than $20,000",4780.0,initial
2020-06-06,"$75,000 to less than $150,000",17195.0,continued
2020-06-06,"$20,000 to less than $35,000",64841.0,continued
2020-06-06,"Less than $20,000",118432.0,continued
2020-06-06,"$50,000 to less than $75,000",30309.0,continued
2020-06-06,Zero,2083.0,continued
2020-06-06,"$150,000 or more ",3665.0,continued
2020-06-06,"$35,000 to less than $50,000",38928.0,continued
2020-06-07,"$50,000 to less than $75,000",747.0,initial
2020-06-07,Zero,685.0,initial
2020-06-07,"$75,000 to less than $150,000",689.0,initial
2020-06-07,"$35,000 to less than $50,000",789.0,initial
2020-06-07,"$20,000 to less than $35,000",1312.0,initial
2020-06-07,"$150,000 or more ",199.0,initial
2020-06-07,"Less than $20,000",3949.0,initial
2020-06-13,Zero,2122.0,continued
2020-06-13,"$35,000 to less than $50,000",37547.0,continued
2020-06-13,"Less than $20,000",117891.0,continued
2020-06-13,"$20,000 to less than $35,000",63455.0,continued
2020-06-13,"$75,000 to less than $150,000",17302.0,continued
