Town Name,Vote Totals,variable,value
New Britain,22328,Castle and Bradley,6
New Canaan,10966,Castle and Bradley,0
New Fairfield,7677,Castle and Bradley,0
New Hartford,4122,Castle and Bradley,2
New Haven,41688,Castle and Bradley,5
New London,8687,Castle and Bradley,0
New Millford,13668,Castle and Bradley,0
Newington,15691,Castle and Bradley,0
Newtown,15359,Castle and Bradley,0
Norfolk,967,Castle and Bradley,0
North Branford,7654,Castle and Bradley,0
North Canaan,1509,Castle and Bradley,0
North Haven,13589,Castle and Bradley,3
North Stonington,3030,Castle and Bradley,2
Norwalk,38232,Castle and Bradley,1
Norwich,13476,Castle and Bradley,0
Old Lyme,4709,Castle and Bradley,1
Old Saybrook,6225,Castle and Bradley,0
Orange,8367,Castle and Bradley,0
Oxford,7343,Castle and Bradley,2
Plainfield,6120,Castle and Bradley,0
Plainville,8703,Castle and Bradley,0
Plymouth,5810,Castle and Bradley,0
Pomfret,2232,Castle and Bradley,0
Portland,5253,Castle and Bradley,0
Preston,2514,Castle and Bradley,0
Prospect,5585,Castle and Bradley,0
Putnam,3657,Castle and Bradley,1
Redding,5487,Castle and Bradley,1
Ridgefield,14296,Castle and Bradley,2
Rocky Hill,9838,Castle and Bradley,0
Roxbury,1474,Castle and Bradley,0
Salem,2346,Castle and Bradley,2
Salisbury,2331,Castle and Bradley,0
Scotland,909,Castle and Bradley,0
Seymour,8206,Castle and Bradley,1
Sharon,1416,Castle and Bradley,0
Shelton,20857,Castle and Bradley,3
Sherman,2137,Castle and Bradley,0
Simsbury,13984,Castle and Bradley,2
Somers,5694,Castle and Bradley,1
South Windsor,13954,Castle and Bradley,0
Southbury,11580,Castle and Bradley,0
Southington,23318,Castle and Bradley,2
Sprague,1509,Castle and Bradley,0
Stafford,6034,Castle and Bradley,0
Stamford,52258,Castle and Bradley,2
Sterling,1684,Castle and Bradley,0
Stonington,10173,Castle and Bradley,1
Stratford,25251,Castle and Bradley,1
Suffield,7558,Castle and Bradley,0
Thomaston,3971,Castle and Bradley,0
Thompson,4508,Castle and Bradley,0
Tolland,8499,Castle and Bradley,2
Torrington,15131,Castle and Bradley,0
Trumbull,19846,Castle and Bradley,3
Union,496,Castle and Bradley,0
Vernon,13559,Castle and Bradley,2
Voluntown,1385,Castle and Bradley,0
Wallingford,22636,Castle and Bradley,2
Warren,858,Castle and Bradley,0
Washington,2082,Castle and Bradley,0
Waterbury,33719,Castle and Bradley,1
Waterford,10683,Castle and Bradley,7
Watertown,11884,Castle and Bradley,0
West Hartford,33346,Castle and Bradley,2
West Haven,20969,Castle and Bradley,3
Westbrook,3792,Castle and Bradley,0
Weston,5712,Castle and Bradley,0
Westport,15444,Castle and Bradley,0
Wethersfield,14222,Castle and Bradley,0
Willington,2996,Castle and Bradley,0
Wilton,10391,Castle and Bradley,1
Winchester,4994,Castle and Bradley,0
Windham,8403,Castle and Bradley,0
Windsor,16016,Castle and Bradley,2
Windsor Locks,6146,Castle and Bradley,0
Wolcott,9092,Castle and Bradley,0
Woodbridge,5353,Castle and Bradley,0
Woodbury,5930,Castle and Bradley,3
Woodstock,4486,Castle and Bradley,0
Andover,1908,Clinton and Kaine,896
Ansonia,7478,Clinton and Kaine,3532
Ashford,2332,Clinton and Kaine,1112
