Town,Reg_Voters,%_Applied,%_Voted
Hamden,35622.0,32.06164729661445,23.555667845713323
Hampton,1330.0,24.51127819548872,15.714285714285714
Hartford,62485.0,17.72265343682484,10.743378410818597
Hartland,1490.0,19.12751677852349,13.221476510067115
Harwinton,4265.0,24.642438452520516,15.005861664712778
Hebron,7562.0,30.930970642687118,20.97328749008199
Kent,2090.0,30.95693779904306,22.77511961722488
Killingly,11320.0,20.733215547703182,15.097173144876326
Killingworth,4983.0,32.28978526991772,23.861127834637767
Lebanon,5031.0,23.59371894255615,16.756112104949313
Ledyard,9805.0,30.39265680775115,21.121876593574708
Lisbon,2851.0,21.781830936513504,14.907050157839354
Litchfield,6056.0,28.401585204755616,21.07001321003963
Lyme,1971.0,39.5738203957382,30.39066463723998
Madison,13990.0,41.65117941386705,30.986418870621872
Manchester,33813.0,32.41948363055629,23.16860379144116
Mansfield,9969.0,31.20674089678002,23.83388504363527
Marlborough,4602.0,31.290743155149936,22.77270751847023
Meriden,31423.0,26.082805588263373,19.91853101231582
Middlebury,6009.0,24.846064236977867,17.423864203694457
Middlefield,3439.0,24.861878453038674,16.574585635359117
Middletown,29532.0,30.431396451307055,19.653257483407828
Milford,39112.0,29.942217222335856,21.530476580077725
Monroe,13740.0,27.50363901018923,18.355167394468705
Montville,10811.0,26.325039311812045,19.38766071593747
Morris,1777.0,0.8441193021947102,0.16882386043894204
Naugatuck,20394.0,19.912719427282536,14.170834559184074
New Britain,33295.0,20.525604445111878,13.85793662712119
New Canaan,14435.0,36.10668514028403,23.179771388985106
New Fairfield,10405.0,27.650168188370976,18.491110043248437
New Hartford,5194.0,25.279168271082018,17.751251443973818
New Haven,60581.0,21.16505174889817,7.033558376388637
Newington,20616.0,29.811796662786186,21.26988746604579
New London,16263.0,19.836438541474514,11.148004673184529
New Milford,18331.0,24.87043805575255,16.943974687687525
Newtown,19107.0,36.36363636363637,26.508609410163814
Norfolk,1163.0,29.4067067927773,22.527944969905416
North Branford,10063.0,26.353969989068865,19.72572791414091
North Canaan,2376.0,0.0,0.0
North Haven,17999.0,26.034779709983887,18.21212289571643
North Stonington,4449.0,22.881546414924703,17.06001348617667
Norwalk,58436.0,29.28845232390992,20.622561434732013
Norwich,19759.0,27.13193987549977,20.19332962194443
Old Lyme,5987.0,44.12894604977451,33.27208952730917
Old Saybrook,9094.0,35.13305476138113,27.336705520123157
Orange,10633.0,35.371014765353145,25.43966895513966
Oxford,9551.0,26.060098419013716,18.312218615851744
Plainfield,9897.0,16.358492472466406,11.902596746488834
Plainville,12320.0,22.02922077922078,16.45292207792208
Plymouth,8645.0,26.709080393290918,18.750722961249277
Pomfret,2880.0,24.895833333333332,17.36111111111111
Portland,6675.0,36.449438202247194,26.861423220973784
Preston,3265.0,24.747320061255742,16.75344563552833
Prospect,6833.0,22.113273818235037,14.40070247329138
Putnam,6138.0,19.1267513848159,13.620071684587813
Redding,7000.0,37.81428571428572,27.714285714285715
Ridgefield,19501.0,36.73657761140454,25.593559304651045
