Town Name,Vote Totals,variable,value
Danbury,32021,Trump and Pence,12788
Darien,12358,Trump and Pence,4689
Deep River,2902,Trump and Pence,1076
Derby,5778,Trump and Pence,2749
Durham,4344,Trump and Pence,2222
East Granby,3264,Trump and Pence,1405
East Haddam,5771,Trump and Pence,2699
East Hampton,7988,Trump and Pence,3746
East Hartford,20185,Trump and Pence,5434
East Haven,14214,Trump and Pence,7488
East Lyme,11756,Trump and Pence,4285
East Windsor,6900,Trump and Pence,2889
Eastford,870,Trump and Pence,516
Easton,5020,Trump and Pence,2178
Ellington,9491,Trump and Pence,4515
Enfield,20929,Trump and Pence,9298
Essex,4715,Trump and Pence,1635
Fairfield,35590,Trump and Pence,12049
Farmington,16037,Trump and Pence,6160
Franklin,1261,Trump and Pence,674
Glastonbury,22201,Trump and Pence,7976
Goshen,2098,Trump and Pence,1161
Granby,7371,Trump and Pence,3166
Greenwich,36211,Trump and Pence,13264
Griswold,5981,Trump and Pence,3257
Groton,17389,Trump and Pence,6272
Guilford,12824,Trump and Pence,4262
Haddam,5512,Trump and Pence,2693
Hamden,29843,Trump and Pence,7685
Hampton,1466,Trump and Pence,625
Hartford,30657,Trump and Pence,3813
Hartland,1292,Trump and Pence,818
Harwinton,3701,Trump and Pence,2229
Hebron,6266,Trump and Pence,2731
Kent,1837,Trump and Pence,568
Killingly,5911,Trump and Pence,3293
Killingworth,4387,Trump and Pence,1979
Lebanon,4438,Trump and Pence,2268
Ledyard,8321,Trump and Pence,3629
Lisbon,2490,Trump and Pence,1331
Litchfield,5342,Trump and Pence,2555
Lyme,1772,Trump and Pence,576
Madison,12434,Trump and Pence,4638
Manchester,28466,Trump and Pence,8530
Mansfield,7485,Trump and Pence,1708
Marlborough,4062,Trump and Pence,1861
Meriden,25316,Trump and Pence,9981
Middlebury,5078,Trump and Pence,2741
Middlefield,2853,Trump and Pence,1356
Middletown,23318,Trump and Pence,7569
Milford,30659,Trump and Pence,13145
Monroe,12002,Trump and Pence,5989
Montville,8873,Trump and Pence,4242
Morris,1561,Trump and Pence,874
Naugatuck,14904,Trump and Pence,7740
New Britain,23922,Trump and Pence,7678
New Canaan,12360,Trump and Pence,4854
New Fairfield,5662,Trump and Pence,3530
New Hartford,4577,Trump and Pence,2382
New Haven,27146,Trump and Pence,4898
New London,9123,Trump and Pence,2045
New Milford,15734,Trump and Pence,7493
Newington,11146,Trump and Pence,5644
Newtown,17324,Trump and Pence,7292
Norfolk,1060,Trump and Pence,381
North Branford,8631,Trump and Pence,4786
North Canaan,1657,Trump and Pence,786
North Haven,15167,Trump and Pence,7769
North Stonington,3375,Trump and Pence,1710
Norwalk,41955,Trump and Pence,12974
Norwich,15053,Trump and Pence,5566
Old Lyme,5408,Trump and Pence,2095
Old Saybrook,7343,Trump and Pence,2995
Orange,9253,Trump and Pence,4317
Oxford,8511,Trump and Pence,5118
Plainfield,7086,Trump and Pence,4080
