Municipality,2015,2016,2017,2018,2019,2020 YTD
Waterford,"228,729","219,210","239,630","232,865","235,000","245,000"
Watertown,"198,824","198,832","197,955","203,420","218,000","189,200"
West Hartford,"310,629","308,596","317,770","310,215","300,000","293,000"
West Haven,"151,947","164,939","169,304","172,907","184,950","187,000"
Westbrook,"280,671","281,993","327,147","343,780","302,200","300,925"
Weston,"871,055","808,734","822,036","684,000","685,000","650,000"
Westport,"1,204,773","1,271,628","1,250,244","1,144,237","1,074,500","1,012,500"
Wethersfield,"227,921","238,364","242,756","233,170","234,950","240,000"
Willington,"215,851","204,312","208,374","207,997","225,000","216,719"
Wilton,"861,033","819,375","722,797","785,710","659,000","718,500"
Winchester,"139,285","158,501","166,699","142,394","153,000","159,900"
Windham,"126,084","131,951","140,652","137,308","139,900","135,000"
Windsor,"193,280","196,863","207,332","212,574","205,000","215,000"
Windsor Locks,"168,597","174,516","177,014","179,010","193,000","184,000"
Wolcott,"199,363","209,047","191,787","206,471","220,000","185,000"
Woodbridge,"404,114","384,149","394,348","395,398","381,000","384,900"
Woodbury,"301,631","324,558","328,189","312,758","347,000","365,000"
Woodstock,"244,893","246,558","278,648","225,796","246,000","237,000"
